Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,31,0,430.0,364.24729951612755,29.638536000000215,828.1081149999991,10860.709677419354,0.37319166498911355,0.0,430,520,520,520,630,730,830,830,830,830,830
GET,/cart,45,0,24,34.959030644444375,16.108332000001724,299.43064799999775,12704.31111111111,0.5417298362745196,0.0,24,26,26,27,49,80,300,300,300,300,300
POST,/cart,46,0,42,63.90166219565293,22.652008999997975,208.030535000006,17319.804347826088,0.5537682770806202,0.0,42,68,81,89,150,190,210,210,210,210,210
POST,/cart/checkout,14,0,59,68.60070392857257,28.118564999999762,142.21889799999587,6984.357142857143,0.16853817128540613,0.0,68,79,96,99,110,140,140,140,140,140,140
GET,/product/0PUK6V6EV0,19,0,30,51.09028784210517,20.13579299999435,251.57160599999884,8157.210526315789,0.2287303753159083,0.0,30,34,62,63,130,250,250,250,250,250,250
GET,/product/1YMWWN1N4O,34,0,26,46.025349147057945,19.8628699999972,246.61806000000297,8165.0,0.4093069874074149,0.0,27,29,39,68,110,140,250,250,250,250,250
GET,/product/2ZYFJ3GM2N,29,0,26,56.85576203448149,20.112077999996814,337.37148699999864,8177.724137931034,0.3491147833769127,0.0,26,31,52,64,200,210,340,340,340,340,340
GET,/product/66VCHSJNUP,28,0,27,49.83778099999952,19.708487000002606,299.8519440000038,8142.214285714285,0.33707634257081226,0.0,28,31,39,42,97,210,300,300,300,300,300
GET,/product/6E92ZMYYFZ,23,0,25,45.776879652176774,18.503547999998204,166.18504200000928,8134.217391304348,0.2768841385403101,0.0,25,32,51,78,120,140,170,170,170,170,170
GET,/product/9SIQT8TOJO,22,0,27,44.745915045457,19.897899000000052,198.5265599999977,8173.772727272727,0.26484569773420963,0.0,28,29,38,43,84,140,200,200,200,200,200
GET,/product/L9ECAV7KIM,25,0,27,43.268226159999585,19.224688999997852,128.27920600000198,8162.16,0.3009610201525109,0.0,27,33,38,79,100,100,130,130,130,130,130
GET,/product/LS4PSXUNUM,21,0,27,63.24333833333334,19.097477999991952,298.6054769999953,8114.380952380952,0.2528072569281092,0.0,27,35,43,78,140,250,300,300,300,300,300
GET,/product/OLJCESPC7Z,14,0,28,39.2332592857123,20.082722999987368,87.72399699999767,8199.857142857143,0.16853817128540613,0.0,28,34,48,64,86,88,88,88,88,88,88
POST,/setCurrency,35,0,71,96.329235885715,32.31658599999321,314.93828199999996,10911.628571428571,0.42134542821351534,0.0,71,110,130,140,210,290,310,310,310,310,310
,Aggregated,386,0,31,79.56591786269442,16.108332000001724,828.1081149999991,10203.81347150259,4.6468381511547685,0.0,31,48,77,92,190,330,520,630,830,830,830
